,Unnamed: 0,url,expose_id,city,living_space,purchase_price,monthly_price,notary_costs,entry_land_register,land_transfer,broker_commission_percentage,broker_commission,total_additional_costs,foreclosure,rent_price_index,price_per_m2,total_purchase_price,equity,debt,interest_rate_monthly,mortgage_payment_yearly,mortgage_payment_monthly,monthly_rent,additional_costs,cashflow,ROI
35,35,https://www.immobilienscout24.de/expose/121236412,121236412,Magdeburg,45.0,95000.0,220.0,1425.0,475.0,4750.0,0.0,0.0,6650.0,False,6.05,2111.1111111111113,101650.0,20330.0,81320.0,67.76666666666667,1626.4,135.53333333333333,272.25,40.5,28.450000000000014,0.01679291687161831
36,36,https://www.immobilienscout24.de/expose/121356322,121356322,Magdeburg,55.0,87675.0,231.0,1315.125,438.375,4383.75,6.0,5260.5,11397.75,False,6.05,1594.090909090909,99072.75,19814.550000000007,79258.2,66.0485,1585.164,132.097,332.75,49.5,85.1045,0.05154061030909104
38,38,https://www.immobilienscout24.de/expose/121875619,121875619,Magdeburg,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.975,35.55000000000001,203.425,inf
41,41,https://www.immobilienscout24.de/expose/122255863,122255863,Magdeburg,61.36,95000.0,252.0,1425.0,475.0,4750.0,6.96,6612.0,13262.0,False,7.17,1548.2398956975228,108262.0,21652.4,86609.6,72.1746666666667,1732.1920000000002,144.3493333333334,439.9512,55.224,168.2031999999999,0.09322007722007718
42,42,https://www.immobilienscout24.de/expose/122259601,122259601,Magdeburg,68.0,70000.0,186.0,1050.0,350.0,3500.0,6.96,4872.0,9772.0,False,7.17,1029.4117647058824,79772.0,15954.4,63817.6,53.18133333333334,1276.3519999999999,106.36266666666668,487.56,61.2,266.81600000000003,0.20068394925537786
43,43,https://www.immobilienscout24.de/expose/122320881,122320881,Magdeburg,42.0,59500.0,154.0,892.5,297.5,2975.0,4.63,2754.85,6919.85,False,6.05,1416.666666666667,66419.85,13283.97,53135.88000000001,44.27990000000001,1062.7176000000004,88.55980000000002,254.1,37.8,83.46029999999998,0.07539339519736944
44,44,https://www.immobilienscout24.de/expose/122369804,122369804,Magdeburg,59.1,89000.0,234.0,1335.0,445.0,4450.0,6.09,5420.1,11650.1,False,6.05,1505.922165820643,100650.1,20130.020000000004,80520.08,67.10006666666668,1610.4016,134.20013333333335,357.555,53.19000000000001,103.06479999999996,0.06143946205716633
45,45,https://www.immobilienscout24.de/expose/122380387,122380387,Magdeburg,44.76,59000.0,157.0,885.0,295.0,2950.0,6.96,4106.4,8236.4,False,6.05,1318.141197497766,67236.4,13447.28,53789.12,44.82426666666666,1075.7823999999996,89.64853333333332,270.798,40.284,96.04120000000003,0.08570464807752948
50,50,https://www.immobilienscout24.de/expose/122482873,122482873,Magdeburg,64.0,78500.0,203.0,1177.5,392.5,3925.0,4.63,3634.55,9129.55,False,7.17,1226.5625,87629.55,17525.91,70103.64,58.4197,1402.0728,116.8394,458.88,57.6,226.0209,0.1547566317526451
53,53,https://www.immobilienscout24.de/expose/122528431,122528431,Magdeburg,52.0,62000.0,165.0,930.0,310.0,3100.0,6.96,4315.2,8655.2,False,6.05,1192.3076923076926,70655.2,14131.04,56524.16,47.10346666666666,1130.4832,94.20693333333332,314.6,46.8,126.4896,0.10741425967232418
